lem,index,token,stem,pos,counts
battle,957,battle,battl,NN,11
boy,1122,boy,boy,NN,11
flashback,98,flashback,flashback,NN,11
criminal,850,criminal,crimin,JJ,11
ghost,1376,ghost,ghost,NN,11
ancient,124,ancient,ancient,NN,11
mutant,243,mutant,mutant,NN,11
hand,716,hand,hand,NN,11
airplane,41,airplane,airplan,NN,11
satire,55,satire,satir,NN,11
miss,1291,missing,miss,VB,11
lover,970,lover,lover,NN,11
horror,1157,horror,horror,NN,11
human,700,human,human,NN,11
island,149,island,island,NN,11
russia,1009,russia,russia,NN,11
serial,58,serial,serial,JJ,11
rescue,99,rescue,rescu,NN,11
law,37,law,law,NN,11
party,953,party,parti,NN,11
robbery,291,robbery,robberi,NN,11
run,1533,running,run,VB,11
zombie,1093,zombie,zombi,NN,11
memory,394,memory,memori,NN,10
scientist,254,scientist,scientist,NN,10
heist,178,heist,heist,NN,10
corruption,768,corruption,corrupt,NN,10
student,622,student,student,NN,10
psychological,62,psychological,psycholog,JJ,10
romance,1056,romance,romanc,NN,10
illness,498,illness,ill,NN,10
cop,775,cop,cop,NN,10
reality,263,reality,realiti,NN,10
star,1063,star,star,NN,10
mental,804,mental,mental,NN,10
trap,23,trapped,trap,VB,10
business,50,business,busi,NN,10
obsession,837,obsession,obsess,NN,10
phone,407,phone,phone,NN,10
social,669,social,social,JJ,10
son,1292,son,son,NN,10
giant,1987,giant,giant,NN,10
girl,624,girl,girl,NN,10
sex,2610,sex,sex,NN,10
swim,322,swimming,swim,VB,10
money,846,money,money,NN,9
racism,2466,racism,racism,NN,9
texas,858,texas,texa,NN,9
play,432,play,play,NN,9
town,1206,town,town,NN,9
chaos,1992,chaos,chao,NN,9
male,2647,male,male,NN,9
military,1565,military,militari,JJ,9
nazi,1364,nazi,nazi,NN,9
postapocalyptic,4134,postapocalyptic,postapocalypt,JJ,9
class,672,class,class,NN,9
combat,133,combat,combat,NN,9
job,542,job,job,NN,9
amnesia,383,amnesia,amnesia,NN,9
brutality,758,brutality,brutal,NN,9
clone,1407,clone,clone,NN,9
single,32,single,singl,JJ,9
dance,510,dance,danc,NN,9
doctor,2265,doctor,doctor,NN,9
faith,1326,faith,faith,NN,9
australia,2822,australia,australia,NN,9
germany,1264,germany,germani,NN,9
spacecraft,12,spacecraft,spacecraft,NN,9
short,2027,short,short,JJ,9
area,1331,area,area,NN,9
service,988,services,servic,NN,9
self,711,self,self,NN,9
shootout,182,shootout,shootout,NN,9
animal,2125,animal,anim,NN,9
san,309,san,san,NN,9
sister,3846,sister,sister,NN,9
hostage,2356,hostage,hostag,NN,9
florida,1707,florida,florida,NN,9
wizard,961,wizard,wizard,NN,9
orphan,4511,orphan,orphan,NN,8
mythology,2139,mythology,mytholog,NN,8
fire,805,fire,fire,NN,8
fashion,3475,fashion,fashion,NN,8
campaign,1509,campaign,campaign,NN,8
camp,2034,camp,camp,NN,8
united,722,united,unit,JJ,8
one,908,ones,one,NN,8
fraud,283,fraud,fraud,NN,8
past,536,past,past,NN,8
fox,249,foxs,fox,NN,8
cell,1255,cell,cell,NN,8
old,4287,older,older,JJ,8
fly,221,flying,fli,VB,8
explosion,103,explosion,explos,NN,8
planet,10,planet,planet,NN,8
society,1554,society,societi,NN,8
ireland,3344,ireland,ireland,NN,8
rural,1330,rural,rural,JJ,8
supernatural,1382,supernatural,supernatur,JJ,8
leader,1513,leader,leader,NN,8
machine,1082,machine,machin,NN,8
divorce,73,divorce,divorc,NN,8
save,1299,saving,save,VB,8
prisoner,1352,prisoner,prison,NN,8
station,2795,station,station,NN,8
escape,102,escape,escap,NN,8
spain,142,spain,spain,NN,8
experiment,253,experiment,experi,NN,8
jealousy,834,jealousy,jealousi,NN,8
china,2168,china,china,NN,8
ship,1377,ship,ship,NN,8
blood,3797,blood,blood,NN,8
small,747,small,small,JJ,8
witch,1968,witch,witch,NN,8
action,965,action,action,NN,8
weapon,1087,weapon,weapon,NN,8
virus,160,virus,viru,NN,8
adultery,1135,adultery,adulteri,NN,8
video,1097,video,video,NN,8
resistance,1346,resistance,resist,NN,7
surgery,1296,surgery,surgeri,NN,7
radio,88,radio,radio,NN,7
thief,174,thief,thief,NN,7
boxer,295,boxer,boxer,NN,7
superhuman,247,superhuman,superhuman,NN,7
white,67,white,white,JJ,7
rock,305,rock,rock,NN,7
politician,4815,politician,politician,NN,7
hacker,25,hacker,hacker,NN,7
rome,112,rome,rome,NN,7
autobiography,1370,autobiography,autobiographi,NN,7
corpse,43,corpse,corps,NN,7
mountain,227,mountain,mountain,NN,7
civil,2899,civil,civil,JJ,7
vampire,3252,vampire,vampir,NN,7
cinematic,4572,cinematic,cinemat,JJ,7
disorder,1610,disorders,disord,NN,7
church,3772,church,church,NN,7
protagonist,2575,protagonist,protagonist,NN,7
memoir,1369,memoir,memoir,NN,7
taxi,2354,taxi,taxi,NN,7
accident,42,accident,accid,NN,7
haunt,2756,haunted,haunt,VB,7
attack,1072,attack,attack,NN,7
revolution,220,revolution,revolut,NN,7
interest,4119,interest,interest,NN,7
bad,1113,bad,bad,JJ,7
immigration,1310,immigration,immigr,NN,7
dead,2040,dead,dead,JJ,7
anti,3560,anti,anti,NN,7
best,663,best,best,JJ,7
court,1526,court,court,NN,7
language,1010,language,languag,NN,7
technology,4760,technology,technolog,NN,7
post,3581,post,post,NN,7
mexico,2113,mexico,mexico,NN,7
newspaper,3528,newspaper,newspap,NN,7
group,1051,group,group,NN,7
conflict,936,conflict,conflict,NN,7
team,163,team,team,NN,7
rape,3275,rape,rape,NN,7
boat,1266,boat,boat,NN,7
news,1699,news,news,NN,7
room,308,room,room,NN,7
con,886,con,con,NN,7
usa,201,usa,usa,NN,7
culture,746,culture,cultur,NN,7
sorcery,968,sorcery,sorceri,NN,7
journey,962,journey,journey,NN,7
teacher,4414,teacher,teacher,NN,7
gangster,2011,gangster,gangster,NN,7
nurse,364,nurse,nurs,NN,7
massachusetts,906,massachusetts,massachusett,NN,7
teen,4868,teen,teen,NN,7
prequel,5179,prequel,prequel,NN,6
middle,4109,middle,middl,NN,6
middleearth,969,middleearth,middleearth,NN,6
stock,2656,stocks,stock,NN,6
president,5105,president,presid,NN,6
berlin,2323,berlin,berlin,NN,6
elf,937,elves,elv,NN,6
orcs,939,orcs,orc,NN,6
europe,2252,europe,europ,NN,6
market,912,market,market,NN,6
spiderman,1129,spiderman,spiderman,NN,6
android,1413,android,android,NN,6
espionage,2335,espionage,espionag,NN,6
trauma,537,trauma,trauma,NN,6
security,2655,securities,secur,NN,6
gun,1162,gun,gun,NN,6
operation,2069,operation,oper,NN,6
mercenary,1508,mercenary,mercenari,NN,6
disease,1075,disease,diseas,NN,6
dwarf,938,dwarf,dwarf,NN,6
demon,872,demon,demon,NN,6
corporation,2420,corporation,corpor,NN,6
country,278,country,countri,NN,6
couple,4482,couples,coupl,NN,6
alcoholic,1519,alcoholic,alcohol,JJ,6
letter,2966,letter,letter,NN,6
night,2486,night,night,NN,6
nuclear,3295,nuclear,nuclear,JJ,6
alcohol,833,alcohol,alcohol,NN,6
kill,252,killing,kill,VB,6
sacrifice,1416,sacrifice,sacrific,NN,6
village,1199,village,villag,NN,6
beach,2713,beach,beach,NN,6
villain,1111,villain,villain,NN,6
surveillance,609,surveillance,surveil,NN,6
india,1724,india,india,NN,6
training,2571,training,train,NN,6
hobbit,940,hobbit,hobbit,NN,6
virtual,262,virtual,virtual,JJ,6
disaster,652,disaster,disast,NN,6
summer,2881,summer,summer,NN,6
vision,820,vision,vision,NN,6
pirate,1733,pirate,pirat,NN,6
officer,5023,officer,offic,NN,6
xmen,248,xmen,xmen,NN,6
torture,1042,torture,tortur,NN,6
lie,2331,lie,lie,NN,6
dragon,1453,dragon,dragon,NN,6
strong,2564,strong,strong,JJ,6
agency,1323,agency,agenc,NN,6
scene,1846,scene,scene,NN,6
cancer,1057,cancer,cancer,NN,6
vigilante,2746,vigilante,vigilant,NN,6
washington,1277,washington,washington,NN,6
moon,1148,moon,moon,NN,6
politics,2696,politics,polit,NN,6
monster,3300,monster,monster,NN,6
kung,1626,kung,kung,NN,6
possession,4245,possession,possess,NN,6
gore,216,gore,gore,NN,6
live,964,live,live,JJ,6
fate,787,fate,fate,NN,6
unlikely,1799,unlikely,unlik,JJ,6
pool,323,pool,pool,NN,6
fantasy,3057,fantasy,fantasi,NN,6
research,166,research,research,NN,6
maid,434,maid,maid,NN,6
body,2041,body,bodi,NN,6
financial,2661,financial,financi,JJ,6
bomb,727,bomb,bomb,NN,6
god,1665,god,god,NN,6
artist,237,artist,artist,NN,6
francisco,3762,francisco,francisco,NN,6
figure,1170,figure,figur,NN,6
call,408,call,call,NN,6
blackmail,175,blackmail,blackmail,NN,6
slavery,123,slavery,slaveri,NN,6
manipulation,387,manipulation,manipul,NN,6
funeral,1446,funeral,funer,JJ,6
southern,200,southern,southern,JJ,6
greece,2155,greece,greec,NN,6
record,277,record,record,NN,6
shoot,1771,shooting,shoot,VB,6
marine,686,marine,marin,NN,6
japan,1398,japan,japan,NN,6
author,752,author,author,NN,6
mind,270,mind,mind,NN,6
holiday,3291,holiday,holiday,NN,5
pilot,480,pilot,pilot,NN,5
minister,4353,minister,minist,NN,5
virginia,826,virginia,virginia,NN,5
therapy,2006,therapy,therapi,NN,5
independent,750,independent,independ,JJ,5
nature,1820,nature,natur,NN,5
first,4227,first,first,RB,5
animation,966,animation,anim,NN,5
underground,298,underground,underground,NN,5
diamond,302,diamond,diamond,NN,5
hitman,2360,hitman,hitman,NN,5
infidelity,1136,infidelity,infidel,NN,5
nation,723,nations,nation,NN,5
hitler,5446,hitler,hitler,NN,5
river,281,river,river,NN,5
fighter,2742,fighter,fighter,NN,5
civilization,739,civilization,civil,NN,5
boxing,289,boxing,box,NN,5
moscow,2348,moscow,moscow,NN,5
christmas,2871,christmas,christma,NN,5
surrealism,266,surrealism,surreal,NN,5
airport,366,airport,airport,NN,5
suspicion,1930,suspicion,suspicion,NN,5
humor,352,humor,humor,NN,5
illegal,192,illegal,illeg,JJ,5
professor,737,professor,professor,NN,5
upper,1777,upper,upper,JJ,5
cross,1064,crossed,cross,VB,5
telephone,681,telephone,telephon,NN,5
philosophy,732,philosophy,philosophi,NN,5
hunt,2543,hunt,hunt,NN,5
confession,637,confession,confess,NN,5
africa,2834,africa,africa,NN,5
victim,3253,victim,victim,NN,5
blind,5697,blind,blind,NN,5
countryside,1809,countryside,countrysid,NN,5
futuristic,5206,futuristic,futurist,JJ,5
redemption,4096,redemption,redempt,NN,5
forest,749,forest,forest,NN,5
photographer,1110,photographer,photograph,NN,5
neighbor,4348,neighbor,neighbor,NN,5
priest,4549,priest,priest,NN,5
sexual,6261,sexual,sexual,JJ,5
swashbuckler,1043,swashbuckler,swashbuckl,NN,5
romantic,2025,romantic,romant,JJ,5
dealer,385,dealer,dealer,NN,5
private,3162,private,privat,JJ,5
hong,1395,hong,hong,NN,5
psychiatrist,800,psychiatrist,psychiatrist,NN,5
force,484,force,forc,NN,5
apocalypse,349,apocalypse,apocalyps,NN,5
la,894,las,la,NN,5
company,1726,company,compani,NN,5
legend,3873,legend,legend,NN,5
foot,1253,foot,foot,NN,5
football,2453,football,footbal,NN,5
right,2108,right,right,NN,5
become,1180,becoming,becom,VB,5
transformation,2782,transformation,transform,NN,5
cheat,4503,cheating,cheat,VB,5
smoking,934,smoking,smoke,NN,5
traffic,344,traffic,traffic,NN,5
pennsylvania,439,pennsylvania,pennsylvania,NN,5
tragic,1060,tragic,tragic,NN,5
vega,895,vegas,vega,NN,5
queen,4104,queen,queen,NN,5
treasure,1032,treasure,treasur,NN,5
change,1197,changing,chang,VB,5
twin,1022,twins,twin,NN,5
attempt,2562,attempt,attempt,NN,5
widower,3880,widower,widow,NN,5
traitor,3336,traitor,traitor,NN,5
jazz,1481,jazz,jazz,NN,5
kennedy,1231,kennedy,kennedi,NN,5
japanese,1521,japanese,japanes,JJ,5
fall,2373,falling,fall,VB,5
jail,1474,jail,jail,NN,5
east,1723,east,east,NN,5
key,538,key,key,NN,5
empowerment,1547,empowerment,empower,NN,5
mafia,766,mafia,mafia,NN,5
psychopath,54,psychopath,psychopath,NN,5
light,1316,light,light,NN,5
helicopter,144,helicopter,helicopt,NN,5
cat,367,cat,cat,NN,5
religious,874,religious,religi,JJ,5
spider,1112,spider,spider,NN,5
cannibal,2851,cannibal,cannib,NN,5
speech,5989,speech,speech,NN,5
monk,1813,monk,monk,NN,5
south,211,south,south,NN,5
childrens,995,childrens,children,NN,5
kong,1396,kong,kong,NN,5
drama,2930,drama,drama,NN,5
monkey,713,monkey,monkey,NN,5
religion,5348,religion,religion,NN,5
motel,386,motel,motel,NN,5
drive,742,drive,drive,NN,5
lawyer,1478,lawyer,lawyer,NN,5
betrayal,179,betrayal,betray,NN,5
chinese,7853,chinese,chines,JJ,5
snow,2209,snow,snow,NN,4
arrest,1756,arrest,arrest,NN,4
fake,3901,fake,fake,NN,4
foster,983,foster,foster,NN,4
sniper,1245,sniper,sniper,NN,4
warfare,2290,warfare,warfar,NN,4
cruelty,2044,cruelty,cruelti,NN,4
photography,1115,photography,photographi,NN,4
hack,27,hacking,hack,VB,4
exotic,638,exotic,exot,JJ,4
shark,8215,shark,shark,NN,4
arm,525,arms,arm,NN,4
laboratory,167,laboratory,laboratori,NN,4
guard,2641,guard,guard,NN,4
plot,830,plot,plot,NN,4
fairy,491,fairy,fairi,NN,4
noir,1294,noir,noir,NN,4
spirit,3205,spirit,spirit,NN,4
tank,4921,tank,tank,NN,4
coworker,5269,coworker,cowork,NN,4
ninja,2753,ninja,ninja,NN,4
great,5143,great,great,JJ,4
baseball,87,baseball,basebal,NN,4
state,1298,state,state,NN,4
hunter,5738,hunter,hunter,NN,4
tale,3052,tale,tale,NN,4
affair,2433,affair,affair,NN,4
barrier,1011,barrier,barrier,NN,4
actor,714,actor,actor,NN,4
fugitive,956,fugitive,fugit,JJ,4
lake,891,lake,lake,NN,4
pregnancy,4229,pregnancy,pregnanc,NN,4
year,4467,years,year,NN,4
plan,3857,planned,plan,VB,4
cyber,3986,cyber,cyber,NN,4
filmmaking,4667,filmmaking,filmmak,VB,4
korea,7410,korea,korea,NN,4
national,4239,national,nation,JJ,4
fatherinlaw,370,fatherinlaw,fatherinlaw,NN,4
difference,1784,difference,differ,NN,4
mine,725,mine,mine,NN,4
stroke,1981,stroke,stroke,NN,4
driver,2358,driver,driver,NN,4
sun,1225,sun,sun,NN,4
disappearance,3362,disappearance,disappear,NN,4
pretend,2017,pretending,pretend,VB,4
schizophrenia,257,schizophrenia,schizophrenia,NN,4
historical,129,historical,histor,JJ,4
water,34,water,water,NN,4
fictional,1321,fictional,fiction,JJ,4
medium,4070,media,media,NN,4
prime,6568,prime,prime,NN,4
suburbia,819,suburbia,suburbia,NN,4
slave,127,slave,slave,NN,4
dog,627,dog,dog,NN,4
advertising,462,advertising,advertis,NN,4
skyscraper,147,skyscraper,skyscrap,NN,4
destruction,2689,destruction,destruct,NN,4
horse,2157,horse,hors,NN,4
storm,1602,storm,storm,NN,4
multiple,1259,multiple,multipl,NN,4
steal,194,stolen,stolen,VB,4
folklore,5764,folklore,folklor,NN,4
astronaut,19,astronaut,astronaut,NN,4
wealth,2990,wealth,wealth,NN,4
museum,3440,museum,museum,NN,4
werewolf,1152,werewolf,werewolf,NN,4
myth,5762,myths,myth,NN,4
alaska,1217,alaska,alaska,NN,4
sexuality,733,sexuality,sexual,NN,4
science,423,science,scienc,NN,4
homophobia,2873,homophobia,homophobia,NN,4
smuggle,430,smuggling,smuggl,VB,4
hawaii,477,hawaii,hawaii,NN,4
mechanic,867,mechanic,mechan,NN,4
sewer,7385,sewer,sewer,NN,4
fish,981,fish,fish,NN,4
scotland,1142,scotland,scotland,NN,4
afterlife,3543,afterlife,afterlif,NN,4
navy,1742,navy,navi,NN,4
homosexuality,4823,homosexuality,homosexu,NN,4
afghanistan,4158,afghanistan,afghanistan,NN,4
philadelphia,438,philadelphia,philadelphia,NN,4
camera,610,camera,camera,NN,4
isolation,1818,isolation,isol,NN,4
mask,2781,mask,mask,NN,4
marijuana,847,marijuana,marijuana,NN,4
bus,338,bus,bu,NN,4
prostitution,363,prostitution,prostitut,NN,4
mass,1766,mass,mass,NN,4
patient,798,patient,patient,NN,4
little,4378,little,littl,JJ,4
buddy,1319,buddy,buddi,NN,4
britain,5144,britain,britain,NN,4
bridge,2797,bridge,bridg,NN,4
break,9265,breaking,break,VB,4
bravery,1932,bravery,braveri,NN,4
brain,471,brain,brain,NN,4
painter,1948,painter,painter,NN,4
relation,4149,relation,relat,NN,4
competition,6142,competition,competit,NN,4
boston,3665,boston,boston,NN,4
manhattan,3033,manhattan,manhattan,NN,4
cold,2905,cold,cold,NN,4
trip,339,trip,trip,NN,4
manga,8969,manga,manga,NN,4
beating,4796,beating,beat,NN,4
toy,626,toy,toy,NN,4
chicago,1066,chicago,chicago,NN,4
olympic,3094,olympic,olymp,NN,4
interracial,578,interracial,interraci,JJ,4
transformer,4020,transformers,transform,NN,4
celebrity,7019,celebrity,celebr,NN,4
catholicism,3449,catholicism,catholic,NN,4
catholic,4548,catholic,cathol,NN,4
lifeform,4,lifeform,lifeform,NN,4
prophecy,273,prophecy,propheci,NN,4
rivalry,2750,rivalry,rivalri,NN,4
organize,180,organized,organ,VB,4
classroom,1765,classroom,classroom,NN,4
iran,6429,iran,iran,NN,4
retirement,5114,retirement,retir,NN,4
caper,884,caper,caper,NN,4
triangle,1007,triangle,triangl,NN,4
wood,3570,woods,wood,NN,4
irish,3345,irish,irish,JJ,4
passport,1246,passport,passport,NN,4
theft,234,theft,theft,NN,4
paranoia,4712,paranoia,paranoia,NN,4
judge,3836,judge,judg,NN,4
master,2760,master,master,NN,4
battlefield,126,battlefield,battlefield,NN,4
illinois,1067,illinois,illinoi,NN,4
telepathy,453,telepathy,telepathi,NN,4
kingdom,3550,kingdom,kingdom,NN,4
north,1052,north,north,NN,4
teller,1859,teller,teller,NN,4
concert,321,concert,concert,NN,4
ice,2193,ice,ice,NN,4
blonde,615,blonde,blond,NN,4
unsociability,361,unsociability,unsoci,NN,4
university,917,university,univers,NN,4
freedom,2400,freedom,freedom,NN,3
investigator,5239,investigator,investig,NN,3
investment,6300,investment,invest,NN,3
french,428,french,french,JJ,3
stand,4146,stand,stand,NN,3
empire,121,empire,empir,NN,3
mexican,778,mexican,mexican,JJ,3
entrepreneur,6103,entrepreneur,entrepreneur,NN,3
emperor,122,emperor,emperor,NN,3
free,3734,free,free,JJ,3
motorcycle,3596,motorcycle,motorcycl,NN,3
miami,1706,miami,miami,NN,3
career,2458,career,career,NN,3
selfdiscovery,1503,selfdiscovery,selfdiscoveri,NN,3
parallel,828,parallel,parallel,NN,3
vacation,8445,vacation,vacat,NN,3
capitalism,2650,capitalism,capit,NN,3
spin,5183,spin,spin,NN,3
poetry,5797,poetry,poetri,NN,3
captive,3788,captive,captiv,NN,3
trial,4279,trial,trial,NN,3
guilt,1220,guilt,guilt,NN,3
show,2284,show,show,NN,3
write,2431,writing,write,VB,3
spoof,2294,spoof,spoof,NN,3
ira,3350,ira,ira,NN,3
red,507,red,red,JJ,3
asia,1837,asia,asia,NN,3
standoff,1158,standoff,standoff,NN,3
loop,6473,loop,loop,NN,3
womanizer,454,womanizer,woman,NN,3
penguin,4329,penguin,penguin,NN,3
gas,3276,gas,ga,NN,3
lose,337,lost,lost,VB,3
parody,4333,parody,parodi,NN,3
musician,2247,musician,musician,NN,3
dysfunctional,931,dysfunctional,dysfunct,NN,3
dynasty,2173,dynasty,dynasti,NN,3
heart,1071,heart,heart,NN,3
casual,6254,casual,casual,JJ,3
trainer,2578,trainer,trainer,NN,3
sheriff,857,sheriff,sheriff,NN,3
refugee,2032,refugee,refuge,NN,3
online,4723,online,onlin,NN,3
stress,3943,stress,stress,NN,3
korean,9085,korean,korean,NN,3
presidential,6861,presidential,presidenti,JJ,3
wilderness,1143,wilderness,wilder,NN,3
interview,543,interview,interview,NN,3
loneliness,1469,loneliness,loneli,NN,3
editor,5273,editor,editor,NN,3
editorinchief,3482,editorinchief,editorinchief,NN,3
education,1822,education,educ,NN,3
hang,3938,hanging,hang,VB,3
plant,1226,planted,plant,VB,3
stereotype,577,stereotype,stereotyp,NN,3
wild,6756,wild,wild,NN,3
election,4816,election,elect,NN,3
lust,2991,lust,lust,NN,3
paranormal,97,paranormal,paranorm,NN,3
hallucination,540,hallucination,hallucin,NN,3
general,206,general,gener,JJ,3
aspire,340,aspiring,aspir,VB,3
speed,359,speed,speed,NN,3
trojan,2141,trojan,trojan,NN,3
eve,4468,eve,eve,NN,3
uncle,954,uncle,uncl,NN,3
predator,2377,predator,predat,NN,3
foreign,1506,foreign,foreign,JJ,3
bully,2002,bully,bulli,RB,3
manager,992,manager,manag,NN,3
reporter,3722,reporter,report,NN,3
brother,176,brother,brother,NN,3
jersey,4729,jersey,jersey,NN,3
manwoman,4148,manwoman,manwoman,NN,3
precognition,1282,precognition,precognit,NN,3
series,2865,series,seri,NN,3
footage,5500,footage,footag,NN,3
bride,1841,bride,bride,NN,3
long,17,long,long,RB,3
golf,2483,golf,golf,NN,3
sign,1701,sign,sign,NN,3
political,5976,political,polit,JJ,3
pandemic,6891,pandemic,pandem,NN,3
gold,1678,gold,gold,NN,3
painting,1954,painting,paint,NN,3
ambush,1409,ambush,ambush,NN,3
zoo,744,zoo,zoo,NN,3
gettysburg,1516,gettysburg,gettysburg,NN,3
bos,1114,boss,boss,NN,3
ghetto,1355,ghetto,ghetto,NN,3
border,4208,border,border,NN,3
gnosticism,1653,gnosticism,gnostic,NN,3
skeleton,1729,skeleton,skeleton,NN,3
palace,4115,palace,palac,NN,3
underworld,1838,underworld,underworld,NN,3
unemployment,1470,unemployment,unemploy,NN,3
truth,1646,truth,truth,NN,3
false,4039,false,fals,JJ,3
blue,677,blues,blue,NN,3
soulmates,783,soulmates,soulmat,NN,3
fourth,9266,fourth,fourth,JJ,3
special,1094,special,special,JJ,3
prayer,1664,prayer,prayer,NN,3
midlife,1791,midlife,midlif,NN,3
excop,1596,excop,excop,NN,3
senate,119,senate,senat,NN,3
langley,1267,langley,langley,NN,3
exlover,150,exlover,exlov,NN,3
canada,7434,canada,canada,NN,3
senator,6340,senator,senat,NN,3
vatican,3383,vatican,vatican,JJ,3
expedition,4440,expedition,expedit,NN,3
morgue,4243,morgue,morgu,NN,3
bible,2122,bible,bibl,JJ,3
found,5499,found,found,NN,3
falklands,3631,falklands,falkland,NN,3
explosive,898,explosives,explos,NN,3
soul,5650,soul,soul,NN,3
fortune,1858,fortune,fortun,NN,3
sorcerer,5872,sorcerer,sorcer,NN,3
sonys,1130,sonys,soni,NN,3
grave,863,grave,grave,NN,3
drunk,2469,drunk,drunk,NN,3
patriotism,207,patriotism,patriot,NN,3
