,Unnamed: 0,id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average
21,18463,6962,The Hunt for the Hidden Relic,2002-12-05,['Adventure'],i_9U5T7vNsg,"STEFFEN VOGT, aged around 25, is helping out at a German archeological excavation in Israel when he finds a 2,000-year-old skeleton holding the instructions for a video camera dating from the year 2003. The bones also show traces of the present day. His theory of a time-traveler who made a video of Jesus is laughed at by everyone, however, including SHARON, an attractive Israeli woman he adores. Although no one appears to believe him, his find certainly seems to have generated interest: Steffen is attacked shortly afterwards in his hotel room by strange men; then he discovers that the German embassy and the secret service are after him; and when his friend DAN is murdered, he goes into hiding.",,"['time travel', 'antique', 'archaeologist']",4.062,29.0,6.0
22,19721,100960,Sweeney Todd: The Demon Barber of Fleet Street in Concert,2001-10-31,"['Crime', 'Drama', 'Horror', 'Music']",acHBq_oZm-8,"In July of 2001, the concert edition of Stephen Sondheim's Broadway masterpiece, Sweeney Todd: The Demon Barber of Fleet Street, was presented at San Francisco's famed Davies Symphony Hall, with Patti LuPone and George Hearn starring. The world-class San Francisco Symphony, under the direction of Rob Fisher, provided the accompaniment for this powerful, sold-out concert.",,"['musical', 'concert', 'live']",7.655,12.0,7.0
23,7830,190250,ABE,2013-04-16,"['Science Fiction', 'Thriller', 'Horror']",Jp-9t0CutNg,A short film about a robot programmed for love who wants to fix the humans who do not love him back.,,['short'],2.661,48.0,6.0
24,13654,17228,Masked Mobsters,2007-10-31,"['Crime', 'Thriller']",CE3e3hGF2jc,"From petty theft on the benches of Belleville to the over-publicised hold-ups of the large Parisian banks, this is the spectacular rise of Simon and his gang. They are capable of emptying a series of safes under the very nose of the police who are bewildered by the calm audacity shown by the group.",,[],3.464,36.0,5.9
25,1810,432011,Super Deluxe,2019-03-29,"['Drama', 'Thriller']",3-Xq_Zz3nPA,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.",,"['dark comedy', 'transgender']",4.206,48.0,7.9
26,792,658199,John Henry,2020-01-24,"['Drama', 'Thriller']",NNYmEXjqEUA,"Ex-gang member John Henry is a quiet man with a violent past. When two immigrant kids on the run from his former South Los Angeles gang leader stumble into his life, John is forced to reconcile with his past in order to try and give them a future.",https://www.youtube.com/watch?v=0jjHyKERFXM,[],7.612999999999999,20.0,4.5
27,10411,46920,Our Life,2010-05-21,['Drama'],Q1I31U8iW24,"Claudio works on a site in the suburbs of Rome. He is madly in love with his wife who is pregnant with their third child. However, a dramatic event comes to upset this simple and happy life. In a rage for life, Claudio energetically fights against the injustice that fell upon him. Love and support from his friends and family as well as the laughter of his children will help him to triumph against the odds.",,[],6.037999999999999,101.0,6.6
28,13448,20360,Namastey London,2007-03-27,"['Romance', 'Drama']",CnUqNCeBz84,"Indian-born Manmohan Malhotra decided to re-locate to London, England, established himself, returned to India, got married to Bebo, and after a period of 4 years got a visa for her so that she could live with him. Shortly thereafter she gave birth to Jasmeet. Manmohan was always embarrassed of Bebo, as she was overly healthy and not quite sophisticated, as a result he always left her at home, while he socialized. Bebo did not want Jasmeet to end up like her, so got her admitted in an English Medium school, encouraged to mingle with Caucasian friends, and as a result Jasmeet was transformed in to Jazz - a stunningly beautiful young woman, British in looks, talk, habits, and heart. Manmohan's plans to get her married to an Indian boy are all in vain. His friend, Parvez Khan, is in a similar situation with his son, Imran, openly romancing a Caucasian blonde, Susan. Manmohan decides to take his family for a tour in India...",,"['london, england', 'romantic']",6.017,71.0,6.3
29,669,739246,GIMS: On the Record,2020-09-17,"['Documentary', 'Music']",OOcSNQyHt2o,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,,[],9.173,27.0,7.1
30,866,636879,A Nun's Curse,2020-05-12,['Horror'],Q0hmcjtRwqg,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,,['killer nun'],93.334,17.0,5.0
31,5786,329724,In Harmony,2015-04-15,['Drama'],WUGTwhKZBRQ,"After a serious accident on a film shoot, Marc, an equestrian, loses all hope to mount back on. His insurance company instructs Florence to handle his case. This film is the story of their meeting.",,[],4.061,59.0,6.1
32,17588,212502,Ek Aur Ek Gyarah: By Hook or by Crook,2003-08-06,"['Action', 'Comedy', 'Crime']",6ztaYu3IUvA,"Two petty thieves Tara and Sitara get on the bad side of two wanted criminals, namely Panther and Cobra.",,[],2.86,20.0,5.9
33,5284,348537,Spanish Affair 2,2015-11-20,"['Comedy', 'Romance']",ADQD_Zt7qpI,"Amaia after breaking up with Rafa, falls in love with a Catalonian. Koldo, her father, goes to Sevilla to persuade Rafa to go to Catalonia and take Amaia's heart back.",,"['fight', 'procession', 'basque country ', 'catalonia', 'seville, spain', 'holy week', 'topics', 'spanish holidays']",8.127,304.0,5.4
34,18725,40640,Bungalow,2002-05-24,['Drama'],aaogRChM3TY,"A major work of the celebrated Berlin School, the debut of Ulrich Köhler (In My Room) is a mesmerizing portrait of a young German soldier named Paul who goes AWOL and returns to his childhood home in the countryside. Over a few summer days, Paul evades the responsibilities of everyday life and falls in love with his brother’s girlfriend, disrupting the lives of everyone in his circle. With Köhler’s penchant for deadpan humor and subtle performances, Bungalow becomes a quiet mockery of militarism, familial estrangement, and youthful ennui.",,[],2.926,13.0,5.8
35,7444,209764,The Terror Live,2013-07-31,"['Action', 'Thriller', 'Crime']",s50PeNqVCP8,"""I'll blow up Mapo Bridge."" An anonymous call comes into a radio station one day. When it turns out to be legitimate, a terrorist's threats end up getting broadcast live throughout the country.",,"['terrorist', 'seoul, south korea']",7.5760000000000005,136.0,7.1
36,11904,15980,Raaz: The Mystery Continues...,2009-01-23,"['Horror', 'Mystery']",v_uNaBdpn1o,"A beautiful lady turns up in an architect's masterpiece.When he founds that she is real, he realizes that she is haunted and hunted by the reasons they have to find out",,[],2.336,28.0,5.8
37,3410,450179,Problemos,2017-05-10,['Comedy'],Dj5xHfMb7j0,"When a pandemic strikes the world, Victor and his family get stuck within a hippie community.",,[],5.104,205.0,5.3
38,16465,32528,Spartacus,2004-03-17,"['Action', 'Drama']",eJiBouML3FQ,"Sentenced to spend out the rest of his adult life laboring in the harsh deserts of Egypt, the Thracian slave Spartacus gets a new lease on life when he is purchased by the obese owner of a Roman gladiator school. Moved by the defiance of an Ethiopian warrior, Draba, Spartacus leads a slave uprising which threatens Rome's status quo. As Spartacus gains sympathy within the Roman Senate, he also makes a powerful enemy in form of Marcus Lucinius Crassus, who makes it a matter of personal honor to crush the rebellion.",,"['rome, italy', 'gladiator', 'roman empire', 'gladiator fight', 'slavery', 'ancient rome', 'ancient world', 'slave', 'escaped slave']",14.967,38.0,6.8
39,20497,130443,Walking the Tracks: The Summer of Stand by Me,2000-08-29,['Documentary'],jaiZ6ZQoO-Y,"A unique look at the making of Stand by Me including interviews from Stephen King, Rob Reiner, Keifer Sutherland, Richard Dreyfuss, and the three surviving cast members Wil Wheaton, Corey Feldman, and Jerry O'Connell.",,['documentary filmmaking'],6.641,19.0,7.7
40,2735,511679,Héctor El Father: Conocerás la verdad,2018-03-22,"['Documentary', 'Drama']",B33bF8aEiJw,"This autobiography of Hector Delgado runs from his childhood to become one of the greatest exponents of the urban genre, but the results of that life did not please him and led him to try to take his life  .After being victim of a firefight at a service station in Aguada, a city hall in Puerto Rico, he stopped earning at least two hundred American dollars for presentation and being ""devout of Jesus""",,[],48.203,78.0,7.6
41,7345,228202,Meu Passado me Condena,2013-10-25,['Comedy'],Vspkm43x0Ec,"The immature and cheap douche bag Fábio Clóvis marries the pseudo-intellectual Miá and they travel in a cruise to Europe on board of a fancy passenger vessel. Fabio and Miá are invited to have dinner with the wealthy Beto Assunção and his gorgeous wife Laura in a VIP restaurant on the vessel. Soon Fábio discovers that Beto was Miá's boyfriend and Miá learns that Fábio had a crush on Laura that was his classmate. Meanwhile the cynical chamber maid Suzana Mello and her estranged husband, the entertainer Wilson, make a bet that Fábio and Miá will split before the end of the trip and poison their relationship. When the ship arrives in Casablanca, Fábio meets his bothersome childhood friend Cabeça that affects their honeymoon.",,"['brazilian', 'woman director']",5.8729999999999976,204.0,6.5
42,3623,453272,Pure Hearts,2017-04-21,['Drama'],ZnVuRD5RU9c,"Agnese and Stefano are profoundly different. She is only seventeen, lives with her mother – a harsh and devoted woman – is a regular church-goer and is about to take a vow of chastity to last until marriage. He is twenty-five, has a violent temper and a difficult past behind. He works as a warden in a car park that borders a Roma camp. Their unexpected meeting engenders a true sentiment, made of little stolen moments and mutual help.",,[],5.9910000000000005,109.0,6.2
43,8635,107170,Ghost Recon: Alpha,2012-05-03,"['Action', 'Science Fiction', 'Thriller', 'War']",Yiqyi2vbX58,Ghost Recon: Alpha sees a team led by Ghost Leader infiltrate a trade at a Russian depot between a general and a mysterious other figure.,,['short'],5.0310000000000015,56.0,7.3
44,1919,551499,70 Big Ones,2019-03-08,"['Crime', 'Thriller']",rnAYOaSTKsM,"Raquel is desperate: a series of unfortunate events have led to her daughter being taken and she needs a large amount of money to get her back, and fast. After a desperate plea to the bank, she manages to secure the loan she needs. The problem is that precisely at that moment, a peculiar couple of robbers enter the branch: the drug-addicted Jonan and his partner Lola, who is a deadly combination of smart and psychotic. But Raquel’s stakes are too high, and she knows she must think carefully to outsmart them, save herself and get her money.",,"['robbery', 'thriller', 'debt', 'bank robbery']",2.806,39.0,5.4
45,3678,439154,The Midwife,2017-03-22,['Drama'],S_FLOFTvqdQ,"Claire is a midwife and has devoted her life to others. At a moment when she is preoccupied by the imminent closure of the maternity clinic where she works, her life is further turned upside down when Béatrice, her father's former mistress, turns up on the scene. Béatrice is a capricious and selfish woman, Claire's exact opposite.",,"['pregnancy', 'cancer', 'hospital', 'doctor', 'illness', 'hospital room', 'maternity', 'chemotherapy']",7.484,94.0,6.0
46,227,614418,‎7 Hours To Fall in Love‎,2020-04-20,['Comedy'],BViEJb83Zu0,"Valeria, a beautiful and determined woman disillusioned about love, is an implacable teacher of picking up for single men. One day she met Giulio, which is struggling to regain his ex. With her help.",,['based on novel or book'],7.57,177.0,6.5
47,5781,316873,Detective Conan: Sunflowers of Inferno,2015-04-18,"['Crime', 'Animation', 'Adventure', 'Mystery']",UMEwtnXCJ14,"Conan tries to track down Kaito Kid, who supposedly steals a replica of one of Van Gogh's Sunflowers paintings during an auction.",,[],19.567,60.0,6.3
48,16910,36984,Trespassing,2004-10-22,['Horror'],w3kp43U9h9c,A graduate student preparing his thesis on mythology leads his friends on a research expedition to an old plantation estate on the outskirts of the Big Easy. The site is reputed to mysteriously cause madness and death to all who enter it.,,[],9.123,12.0,4.3
49,14398,205081,Codename: Kids Next Door - Operation Z.E.R.O.,2006-08-10,"['Animation', 'Science Fiction', 'TV Movie']",kLypZUrbwQg,"The villains of the Kids Next Door, lead by Father, join forces to resurrect the Ultimate Evil, Grandfather, a tyrant who once ruled the world many years ago when most of the villains were themselves kids. However, Father disgraced him that he can't even try to destroy the KND and the Villains were quickly betrayed when they are turned into Senior Citizombies, creatures that are immortal and can transform any living creature into one of them and slaves who are forced to make Tapioca to refuel Grandfather so he can find and destroy the Book of K.N.D.",,"['zombie', 'troubled teen', 'kids']",33.093,86.0,8.2
50,793,651135,The Big Step,2020-08-20,"['Comedy', 'Science Fiction']",sK_Lp3j_A6I,"Ever since, at the age of six, Dario Cavalieri saw live images of the first moon landing, he has never stopped wanting to go there. Mario Cavalieri runs a neighborhood hardware store in Rome, until the day his existence is upset by the phone ring. His brother Dario is in prison. Mario finds himself being the only one who can take care of that brother he has seen only once in his life. The two brothers, as physically similar as they are different in character, will find themselves alone in the face of an impossible undertaking.",,['rocket ship'],2.9210000000000003,20.0,7.4
51,18318,15074,Extreme Ops,2002-11-27,"['Action', 'Adventure', 'Drama', 'Thriller']",2ZoACTYqwbg,"While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.",,"['helicopter', 'austria', 'extreme sports', 'snowboarding', 'base jumping', 'avalanche', 'truth or dare', 'war criminal', 'film within a film', 'skiing']",9.093,62.0,4.7
52,19674,270111,Beck 11 - The Cartel,2001-12-12,['Thriller'],MV4cgs-bPic,It's a dark night in Stockholm. A chef is murdered in his own kitchen and Martin Beck gets on the case.,,[],2.6660000000000004,13.0,5.9
53,16373,65513,They Came Back,2004-10-27,"['Drama', 'Fantasy']",g0b_7Z2Gcrk,The lives of the residents of a small French town are changed when thousands of the recently dead inexplicably come back to life and try to integrate themselves into society that has changed for them.,,[],4.7589999999999995,61.0,5.6
54,10901,60098,Hahaha,2010-05-06,"['Comedy', 'Drama', 'Romance']",snm2qdw54Dw,"Over drinks, two friends agree to swap fond memories of their recent trips to the same seaside town. As the stories unfold in flashback, it becomes evident their accounts take place at the same time—and with the same people.",,['filmmaker'],2.702,26.0,6.3
55,20480,82348,Faccia di Picasso,2000-01-01,['Comedy'],AuUVzuBq4ZI,"The usual story of the young director who tells the movie that fails to do. Zany gags, quotes, the eternal exasperation to get at all costs to laugh, to any.",,[],2.09,20.0,4.0
56,10435,46064,Den Brother,2010-08-13,"['TV Movie', 'Family']",nETSKZOgYr8,"Alex Pearson has a lot to learn about teamwork. As the star of the Lemon Oaks hockey team, Alex almost always has his way on and off the ice. That ism until he pulls a stunt so outrageous not even his own coach can give him a pass. His punishment? Suspension from the team, a never-ending list of chores and a job watching his little sister Emily after school.",,[],12.338,95.0,6.1
57,20661,69577,Thenali,2000-10-27,['Comedy'],5hLYw9Fw4I4,"Tenali is a comedy based movie in which, Panchabhootam is a senior psychiatrist in Vizag. Kailash is an upcoming psychiatrist. As Kailash takes over Panchabhootam over popularity.Panchabhootam wants to ruin the happiness of Kailash by sending him the coward 'Tenali' as the patient. Since Kailash wanted to go for family vacation to Kodaikanal with his wife Jalaja and two kids, he asks Tenali to wait for a month so that he can begin the treatment after Kailash Vacation.Panchabhootam, who wants to make the life of Kailash miserable,...",,[],2.96,12.0,6.9
58,12872,21509,The Cook,2008-04-01,"['Comedy', 'Horror']",axumISNgWlA,"Over a long holiday weekend, unable to escape the confines of their sorority house, a handful of unsuspecting girls are left behind to enjoy the quiet sanctuary. The normal house staff has taken off for the weekend, leaving the girls to fend for themselves. Thankfully someone was kind enough to send them a temporary replacement chef to cook their meals.",,"['cook', 'college', 'bong', 'sorority', 'voyeurism']",8.783999999999999,25.0,3.7
59,15382,23592,In Enemy Hands,2005-04-15,"['War', 'Thriller']",aH8nPl4-ZzU,"At the height of Hitler's infamous U-boat war, the crew of the U.S.S. Swordfish were heading home after months at sea. They never made it. Now prisoners of war aboard U-boat 429, a small group of American survivors will find their loyalties put to the ultimate test when they're forced to join their German captors to fight for their very lives.",,"['submarine', 'mutiny', 'world war ii', 'prisoner of war']",12.360999999999999,63.0,5.8
60,7769,280892,Bunks,2013-10-27,"['TV Movie', 'Comedy']",ERIWZCviCI0,"When two trouble-making brothers scam their way into an idyllic summer camp, they find themselves leading a rag tag cabin of boys into breaking every rule in the book.",,[],7.812,54.0,5.5
61,8906,136437,Beyond the Walls,2012-12-05,"['Drama', 'Romance']",DjU2ukFiPiM,"Paulo, a young pianist, meets Ilir, a double-bass player originally from Albania. It's love at first sight. Confronted by Anka, Paulo finds himself out on the street. Despite Ilir's misgivings, Paulo moves in with him. One day, when Paulo promises that he will love Ilir for the rest of his life, Ilir leaves the city and doesn't return. A few days later, Paulo finds out that Ilir is in jail, and the two lovers embark on an heart-breaking relationship.",,"['musician', 'lgbt', 'gay']",2.9560000000000004,31.0,6.7
62,12890,24037,Open City,2008-01-10,"['Thriller', 'Drama', 'Action']",c1P1JRSJT6Q,"Jo Dae-yeong is a police officer investigating a pickpocket ring with ties to the Yakuza. One day he rescues Baek Jang-mi from danger, only to discover that she is the boss of the gang he has been tracking.",,"['pickpocket', 'police', 'criminal']",5.084,24.0,7.0
63,17532,51887,Fast Film,2003-05-01,"['Adventure', 'Animation']",FUK2kdPsBws,"Bits of found film and different types of animation illustrate a classic chase scene scenario: A woman is abducted and a man comes to her rescue, but during their escape they find themselves in the enemy's secret headquarters.",,[],2.088,25.0,6.9
64,19661,68529,Kick the Moon,2001-06-23,"['Comedy', 'Drama']",VqJHlP8SePo,"Kick the Moon is about two high school students from a small-city high-school. One is a fighter who is involved in a legendary street-fight with a rival school, the other is a geeky wimp who loves to study and is one of the only students to not participate in the fight. Years later, the punk has grown to be a teacher in the high-school he attended and the nerd has become a mafia underboss and has returned to his hometown to set up operations. The movie revolves around the two men's rivalry for the affections of a local lady restaurant owner and the fighting of rival gang factions in the small city.",,[],2.494,14.0,5.6
65,7446,195423,Brazilian Western,2013-05-31,"['Crime', 'Drama', 'Western', 'Romance']",MaHWUokf0Dc,"An adaptation of the eponymous song by Renato Russo, a famous Brazilian singer and composer who in the style of Bob Dylan knew how to delight crowds by telling stories and singing with his lyrics. Focusing on the love story of outlaw João do Santo Cristo with Architecture major student Maria Lúcia, the movie takes place in Brasilia in the early 80s. In a clash of interest, drug dealers and the police conflict with one another,while the end of the military dictatorship in the Capital of Brazil, Brasilia takes place. The wanderings and tedium of a young rocker, who lived in a city still being built, are the backdrop for this story.",,['brazilian'],6.778,136.0,6.3
66,15650,45089,Blood Rain,2005-05-04,"['Thriller', 'Mystery']",UuKG-RNW0Rk,"In 1808, an imperial investigator arrives on an idyllic island to investigate a series of grisly murders. The locals believe that a ghost is responsible, taking revenge for a wrongful execution seven years ago. But the investigator suspects that something else may be behind it all.",,['joseon dynasty'],3.452,26.0,7.1
67,5779,348393,Family for Christmas,2015-07-11,"['Family', 'Romance', 'TV Movie']",QQTo_LoDxh0,"At the height of her career, investigative journalist Hannah Dunbar finds herself wondering what would have been had she stayed with the love of her life, Ben, 10 years before. When Santa Claus hears her “what ifs?” as a Christmas wish, he transports Hannah to a version of her life where she and Ben started a family.",,['woman director'],5.086,60.0,5.6
68,16625,4289,Dinocroc,2004-04-20,"['Horror', 'Science Fiction', 'Thriller']",F2LewVc8a6s,"After an African dinosaur ancestor of the crocodile is found, Dr. Campbell uses its DNA to create prototypes at Paula Kennedy's Genetic Research Co. (Gereco) lab. However one must be put down after killing someone, another escapes and the information is kept from sheriff Harper. His daughter, county dog catcher Diane Harper, helps her ex (welding artist Tom Banning) with his kid brother Michael's beloved dog. They bump into Campbell and discover the dinocroc is growing, having escaped down a tunnel. Although Gereco hires Australian crocodile specialist and intrepid hunter, Richard 'Dick' Sydney, the beast proves impervious to bullets, so the body count rises alarming.",,"['monster', 'human vs nature', 'crocodile', 'angler', 'dinosaur', 'genetic engineering', 'research laboratory']",11.265999999999998,23.0,4.1
69,2569,515047,The Fall of the American Empire,2018-06-28,"['Drama', 'Comedy']",edabMM6w3Yw,"A shy and insecure delivery truck driver accidentally arrives on the scene of a major crime and happens to pick up two bags of cash and hides them in his truck. Though an interrogation of two tough police detectives isn't enough, the guy, who has a doctor's degree in philosophy which makes his mind mingle with remorse, must find a way to get rid of this dirty money. Only the help of a prostitute and a former biker who came out of jail might get him out of trouble, especially that a gang leader is very weary to get his cash back or kill whoever is responsible for this mess. However, even the two bumbling detectives are monitoring the case as well.",,[],6.175,116.0,6.6
70,17660,19153,The Real Cancun,2003-04-23,['Documentary'],BN14PvdUZkw,"Sixteen American college students drink, flirt, fight and canoodle during their Spring Break vacation in Cancun, Mexico.",,['independent film'],7.691,18.0,4.2
72,10897,198391,Ricky Gervais Live 4: Science,2010-11-21,['Comedy'],1ceq_b0T-so,"Ricky Gervais Live IV Science or the way things worked before we invented God. The hilarious fourth live smash hit stand up show from Ricky Gervais, following his complete sell out tour - filmed live at London's Hammersmith HMV Apollo",,['stand-up comedy'],4.831,26.0,7.3
